rrr_ran,total_Score_range,over,wickets_fell,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
>13,120 to 130,14,5,7,7,2,0,4,2,1,23,0.30434782608695654,0.30434782608695654,0.08695652173913043,0.0,0.17391304347826086,0.08695652173913043,0.043478260869565216
>13,120 to 130,14,9,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
>13,120 to 130,15,2,1,3,0,0,0,0,0,4,0.25,0.75,0.0,0.0,0.0,0.0,0.0
>13,120 to 130,15,3,5,7,3,0,2,0,2,19,0.2631578947368421,0.3684210526315789,0.15789473684210525,0.0,0.10526315789473684,0.0,0.10526315789473684
>13,120 to 130,15,4,4,19,3,0,2,2,0,30,0.13333333333333333,0.6333333333333333,0.1,0.0,0.06666666666666667,0.06666666666666667,0.0
>13,120 to 130,15,5,10,20,3,0,3,1,3,40,0.25,0.5,0.075,0.0,0.075,0.025,0.075
>13,120 to 130,15,6,4,0,2,0,2,0,3,11,0.36363636363636365,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.2727272727272727
>13,120 to 130,15,7,0,1,0,0,0,0,1,2,0.0,0.5,0.0,0.0,0.0,0.0,0.5
>13,120 to 130,16,2,2,6,0,0,0,1,0,9,0.2222222222222222,0.6666666666666666,0.0,0.0,0.0,0.1111111111111111,0.0
>13,120 to 130,16,3,4,12,4,0,3,1,1,25,0.16,0.48,0.16,0.0,0.12,0.04,0.04
>13,120 to 130,16,4,14,31,12,1,7,3,2,70,0.2,0.44285714285714284,0.17142857142857143,0.014285714285714285,0.1,0.04285714285714286,0.02857142857142857
>13,120 to 130,16,5,10,23,1,0,2,3,3,42,0.23809523809523808,0.5476190476190477,0.023809523809523808,0.0,0.047619047619047616,0.07142857142857142,0.07142857142857142
>13,120 to 130,16,6,4,15,3,0,1,1,4,28,0.14285714285714285,0.5357142857142857,0.10714285714285714,0.0,0.03571428571428571,0.03571428571428571,0.14285714285714285
>13,120 to 130,16,7,3,9,1,0,0,0,4,17,0.17647058823529413,0.5294117647058824,0.058823529411764705,0.0,0.0,0.0,0.23529411764705882
>13,120 to 130,16,8,2,1,0,0,1,0,0,4,0.5,0.25,0.0,0.0,0.25,0.0,0.0
>13,120 to 130,17,2,0,2,0,0,0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
>13,120 to 130,17,3,1,13,3,0,1,1,1,20,0.05,0.65,0.15,0.0,0.05,0.05,0.05
>13,120 to 130,17,4,10,25,12,0,2,4,2,55,0.18181818181818182,0.45454545454545453,0.21818181818181817,0.0,0.03636363636363636,0.07272727272727272,0.03636363636363636
>13,120 to 130,17,5,10,47,6,1,12,5,4,85,0.11764705882352941,0.5529411764705883,0.07058823529411765,0.011764705882352941,0.1411764705882353,0.058823529411764705,0.047058823529411764
>13,120 to 130,17,6,7,13,9,0,5,5,8,47,0.14893617021276595,0.2765957446808511,0.19148936170212766,0.0,0.10638297872340426,0.10638297872340426,0.1702127659574468
>13,120 to 130,17,7,6,18,2,0,3,3,3,35,0.17142857142857143,0.5142857142857142,0.05714285714285714,0.0,0.08571428571428572,0.08571428571428572,0.08571428571428572
>13,120 to 130,17,8,4,5,0,0,2,0,1,12,0.3333333333333333,0.4166666666666667,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333
>13,120 to 130,17,9,0,1,0,0,1,0,1,3,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
>13,120 to 130,17,10,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,120 to 130,18,2,2,0,0,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
>13,120 to 130,18,3,6,8,1,0,2,3,1,21,0.2857142857142857,0.38095238095238093,0.047619047619047616,0.0,0.09523809523809523,0.14285714285714285,0.047619047619047616
>13,120 to 130,18,4,4,12,2,0,0,0,0,18,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0
>13,120 to 130,18,5,8,37,3,0,3,3,2,56,0.14285714285714285,0.6607142857142857,0.05357142857142857,0.0,0.05357142857142857,0.05357142857142857,0.03571428571428571
>13,120 to 130,18,6,21,45,7,0,6,4,9,92,0.22826086956521738,0.4891304347826087,0.07608695652173914,0.0,0.06521739130434782,0.043478260869565216,0.09782608695652174
>13,120 to 130,18,7,24,38,7,0,9,5,6,89,0.2696629213483146,0.42696629213483145,0.07865168539325842,0.0,0.10112359550561797,0.056179775280898875,0.06741573033707865
>13,120 to 130,18,8,8,12,3,0,3,4,3,33,0.24242424242424243,0.36363636363636365,0.09090909090909091,0.0,0.09090909090909091,0.12121212121212122,0.09090909090909091
>13,120 to 130,18,9,4,3,0,0,0,0,5,12,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.4166666666666667
>13,120 to 130,18,10,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,120 to 130,19,3,0,3,0,0,0,0,0,4,0.0,0.75,0.0,0.0,0.0,0.0,0.0
>13,120 to 130,19,4,2,4,1,0,0,2,0,9,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0
